Name,total_timelines,total_keys,revisions
Jana_%C4%8Cernochov%C3%A1,4,17,0
Bobby_Tullis,4,19,0
Anand_Chand,0,24,0
Marco_Bucci_(politician),1,25,0
Dale_H._Learn,0,18,0
Pete_Gosar,2,15,0
Anthony_Edgecomb,2,18,0
Takako_Suzuki,6,31,1
Bogolo_Kenewendo,2,22,11
Peter_(chief_mouser),0,20,0
Aiyappan_Pillai,1,18,45
Jorge_Baradit,4,26,24
Ante_%C5%BDupanovi%C4%87,2,15,0
Amir_Sufi,1,7,0
Carl_Barrington_Greenidge,5,20,24
Jean-Claude_Boulard,3,11,15
Darko_Horvat_(politician),5,19,43
Jes%C3%BAs_Cardenal,1,17,0
Mar%C3%ADa_Jos%C3%A9_Segarra,2,10,0
Juli%C3%A1n_S%C3%A1nchez_Melgar,2,11,0
Mary_Jane_McCaffree,1,10,15
Emmi_de_Jesus,0,9,0
Ja%27Ron_Smith,2,24,0
Annelie_Karlsson,0,34,0
Jamie_McLeod-Skinner,2,21,86
Igor_Kravt%C5%A1enko,1,13,0
Markku_Rossi,0,13,0
Heiki_Arike,1,19,7
Gari_Cappelli,3,15,11
Jan_Klaasesz,0,10,0
J._D._Scholten,2,15,15
Malucha_Pinto,2,28,13
Danijel_Mileta,1,17,0
Michael_Chu_(private_equity_investor),0,7,0
Frederick_L._Dewberry,0,13,0
Yossi_Daitsh,1,17,0
Francis_Lodowic_Bartels,1,12,0
Lidia_Burzy%C5%84ska,3,11,0
Andrzej_Gawron,3,11,8
Konrad_G%C5%82%C4%99bocki,3,18,0
Krzysztof_Smela,1,8,0
Piotr_Ba%C5%84ka,1,11,0
Tom%C3%A1s_Guanipa,3,14,0
Richard_Mardo,3,15,0
Manon_Aubry,1,12,22
Michael_Wiebe,2,7,6
Martin_F._Tanahey,0,12,0
Stanis%C5%82aw_Gucwa,0,12,0
Jose_Briones,0,14,0
Alfredo_S%C3%A1nchez_Monteseir%C3%ADn,1,20,0
Ahmad_Marvi,1,29,13
Dimpal_Kumari_Jha,6,26,41
Kina_Collins,1,9,13
Magnus_Heunicke,7,14,48
Mattias_Tesfaye,7,20,26
Benny_Engelbrecht,5,19,21
Kaare_Dybvad,4,19,23
Simon_Kollerup,2,17,3
Rasmus_Prehn,4,20,14
Peter_Hummelgaard,3,13,15
Sonja_Mikkelsen,0,17,0
Thakin_Po_Hla_Gyi,1,11,0
Vesna_Bedekovi%C4%87,3,18,0
Ivan_Malenica_(politician),2,15,54
Chuck_Hall_(Florida_politician),0,10,0
Roger_Lau,0,8,0
Wilter_Palma,5,27,35
